ds,yhat
2020-05-03,139067368.4173194
2020-05-10,138690910.21886784
2020-05-17,138314452.0204163
2020-05-24,137937993.09106869
2020-05-31,137561534.16172108
2020-06-07,137185075.23237348
2020-06-14,136808613.42356217
2020-06-21,136432151.61475083
2020-06-28,136055689.8059395
2020-07-05,135679227.3326923
2020-07-12,135302764.85944507
2020-07-19,134926302.38619787
2020-07-26,134549838.9284096
2020-08-02,134173375.47062135
2020-08-09,133796909.6231422
2020-08-16,133420443.77566306
2020-08-23,133043977.92818388
2020-08-30,132667514.97351024
2020-09-06,132291052.01883656
2020-09-13,131914589.0641629
2020-09-20,131538125.01890779
2020-09-27,131161660.97365269
2020-10-04,130785196.9283976
2020-10-11,130408733.86894888
2020-10-18,130032270.80950016
2020-10-25,129655807.75005144
2020-11-01,129279344.82568161
2020-11-08,128902881.90131181
2020-11-15,128526426.20867793
2020-11-22,128149970.51604402
2020-11-29,127773514.82341014
2020-12-06,127397142.51022364
2020-12-13,127020770.19703716
2020-12-20,126644397.88385066
2020-12-27,126426718.42634457
2021-01-03,126209038.96883848
2021-01-10,125991359.51133241
2021-01-17,126071961.37434049
2021-01-24,126152563.23734857
2021-01-31,126579618.78910525
2021-02-07,127006674.34086195
2021-02-14,127433729.89261864
2021-02-21,128199717.95186935
2021-02-28,128965706.01112005
2021-03-07,129731694.07037076
2021-03-14,130739338.14043248
2021-03-21,131746982.21049416
2021-03-28,132754626.28055587
2021-04-04,133948497.95867236
2021-04-11,135142369.63678885
2021-04-18,136336241.31490532
2021-04-25,137683442.4974479
2021-05-02,139030643.6799905
2021-05-09,140486057.74403882
2021-05-16,141941471.80808714
2021-05-23,143396885.87213546
2021-05-30,144896944.83542442
2021-06-06,146397003.79871333
2021-06-13,147897062.7620023
2021-06-20,149404778.79227048
2021-06-27,150912494.82253867
2021-07-04,152420210.85280684
2021-07-11,153938907.3613102
2021-07-18,155457603.86981356
2021-07-25,156976300.37831688
2021-08-01,158534911.99173465
2021-08-08,160093523.60515234
2021-08-15,161684287.89601943
2021-08-22,163275052.18688652
2021-08-29,164865816.4777536
2021-09-05,166482595.25468686
2021-09-12,168099374.0316201
2021-09-19,169716152.8085533
2021-09-26,171332931.5854865
2021-10-03,172949710.36241975
2021-10-10,174566489.13935298
2021-10-17,176183267.9162862
2021-10-24,177800046.69321942
2021-10-31,179416825.47015265
2021-11-07,181033604.24708587
2021-11-14,182650383.0240191
2021-11-21,184267161.80095232
2021-11-28,185883940.57788554
2021-12-05,187500719.35481876
2021-12-12,189117498.13175195
2021-12-19,190734276.9086852
2021-12-26,192351055.6856184
2022-01-02,193967834.46255165
2022-01-09,195584613.23948485
2022-01-16,197201392.0164181
2022-01-23,198818170.79335135
2022-01-30,200434949.57028455
2022-02-06,202051728.34721774
2022-02-13,203668507.124151
2022-02-20,205285285.90108418
